index;NO_MUNICIPIO;NO_ENTIDADE;IN_BIBLIOTECA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_PISCINA;IN_QUADRA_ESPORTES;IN_REFEITORIO;IN_SALA_ATELIE_ARTES;IN_SALA_LEITURA;IN_ACESSIBILIDADE_ELEVADOR;IN_INTERNET_APRENDIZAGEM;IN_ACESSO_INTERNET_COMPUTADOR;QT_PROF_PSICOLOGO;Código da Escola;Rede;IDEB
1110;Rio de Janeiro;0918056 ESCOLA MUNICIPAL AUGUSTO VASCONCELOS; true;false;false;false;false;true;false;false;false;true;false;0;33082642;Municipal;5
1111;Rio de Janeiro;0918047 ESCOLA MUNICIPAL BELISARIO PENA;false;false; true;false;false;true;false;true;false;true;false;0;33082677;Municipal;5,5
1112;Rio de Janeiro;0918068 ESCOLA MUNICIPAL BENJAMIN FRANKLIN; true;false;false;false;true;true;false;false;false;true;false;0;33082685;Municipal;6,1
1113;Rio de Janeiro;1026010 ESCOLA MUNICIPAL BERTHA LUTZ; true;false;false;false;true;true;false;true;false;false;false;0;33082693;Municipal;5,7
1114;Rio de Janeiro;0918052 ESCOLA MUNICIPAL CASEMIRO DE ABREU; true;false;false;false;true;true;false;true;false;true;false;0;33082707;Municipal;4,6
1115;Rio de Janeiro;0918022 ESCOLA MUNICIPAL CASTRO ALVES; true;false; true;false;true;true;false;true;false;true;true;0;33082715;Municipal;5,6
1116;Rio de Janeiro;0918072 ESCOLA MUNICIPAL GUANDU 0918072; true;false; true;false;false;true;false;false;false;true;false;0;33082723;Municipal;5,5
1117;Rio de Janeiro;0918055 ESCOLA MUNICIPAL CHARLES PEGUY;false;false;false;false;true;true;false;true;false;true;false;0;33082740;Municipal;6
1118;Rio de Janeiro;0918080 ESCOLA MUNICIPAL COMUNIDADE JARDIM PEDREGOSO; true;false; true;false;true;true;false;true;false;true;false;0;33082758;Municipal;5,7
1119;Rio de Janeiro;0918079 ESCOLA MUNICIPAL CONSTANTINO MAGALHAES;false;false; true;false;true;true;false;true;false;true;true;0;33082766;Municipal;6,2
1120;Rio de Janeiro;0918024 ESCOLA MUNICIPAL DOM MEINRADO;false;false; true;false;true;true;false;true;false;false;true;0;33082804;Municipal;5,8
1121;Rio de Janeiro;0918044 ESCOLA MUNICIPAL ERNESTO NAZARETH; true;false;false;false;true;true;false;false;false;true;false;0;33082855;Municipal;5,6
1122;Rio de Janeiro;1026006 ESCOLA MUNICIPAL EUCLIDES DA CUNHA;false;false;false;false;true;true;false;true;false;true;false;0;33082863;Municipal;5,1
1123;Rio de Janeiro;1026014 ESCOLA MUNICIPAL EUCLIDES ROXO;false;false;false;false;true;true;false;true;false;true;false;0;33082871;Municipal;5,8
1124;Rio de Janeiro;0918065 ESCOLA MUNICIPAL FERNANDO COSTA;false;false;false;false;false;true;false;true;false;false;true;0;33082901;Municipal;5,6
1125;Rio de Janeiro;0918031 ESCOLA MUNICIPAL GEORGE WASHINGTON; true;false;false;false;true;true;false;false;false;false;false;0;33082936;Municipal;6
